,Site,Date,Hour Block,ED Env Prediction
0,A,2025-03-25 00:00:00,0,15.567414912597316
1,B,2025-03-25 00:00:00,0,22.815113713176867
2,C,2025-03-25 00:00:00,0,13.047056173307249
3,D,2025-03-25 00:00:00,0,8.839873621607872
4,Total,2025-03-25 00:00:00,0,59.16365529630127
5,A,2025-03-25 06:00:00,1,29.458361670705756
6,B,2025-03-25 06:00:00,1,41.54408982244336
7,C,2025-03-25 06:00:00,1,24.353349174539847
8,D,2025-03-25 06:00:00,1,17.93644666958069
9,Total,2025-03-25 06:00:00,1,111.52261749981237
10,A,2025-03-25 12:00:00,2,44.41948941564346
11,B,2025-03-25 12:00:00,2,60.495296443297924
12,C,2025-03-25 12:00:00,2,35.965311927316236
13,D,2025-03-25 12:00:00,2,27.235608195751244
14,Total,2025-03-25 12:00:00,2,165.31346221036134
15,A,2025-03-25 18:00:00,3,39.46779757438062
16,B,2025-03-25 18:00:00,3,56.75603480695568
17,C,2025-03-25 18:00:00,3,31.273113362863068
18,D,2025-03-25 18:00:00,3,23.130567579365124
19,Total,2025-03-25 18:00:00,3,148.02606562648972
20,A,2025-03-26 00:00:00,0,15.611490359622076
21,B,2025-03-26 00:00:00,0,22.598396351666533
22,C,2025-03-26 00:00:00,0,13.329479718029324
23,D,2025-03-26 00:00:00,0,8.830323677515741
24,Total,2025-03-26 00:00:00,0,59.28979720011228
25,A,2025-03-26 06:00:00,1,28.826872143840706
26,B,2025-03-26 06:00:00,1,40.33727702899831
27,C,2025-03-26 06:00:00,1,23.336359100031828
28,D,2025-03-26 06:00:00,1,17.58946053646416
29,Total,2025-03-26 06:00:00,1,108.56508656421045
30,A,2025-03-26 12:00:00,2,42.10681434798843
31,B,2025-03-26 12:00:00,2,57.21521696984422
32,C,2025-03-26 12:00:00,2,33.59070101555263
33,D,2025-03-26 12:00:00,2,25.823666018936915
34,Total,2025-03-26 12:00:00,2,156.6231266580987
35,A,2025-03-26 18:00:00,3,39.192013839086826
36,B,2025-03-26 18:00:00,3,55.453622281478715
37,C,2025-03-26 18:00:00,3,30.777961086028927
38,D,2025-03-26 18:00:00,3,23.24761127499812
39,Total,2025-03-26 18:00:00,3,146.84810948746147
40,A,2025-03-27 00:00:00,0,15.068127402242984
41,B,2025-03-27 00:00:00,0,22.0718184482504
42,C,2025-03-27 00:00:00,0,12.78991083205072
43,D,2025-03-27 00:00:00,0,7.961449845998236
44,Total,2025-03-27 00:00:00,0,56.84545482832269
45,A,2025-03-27 06:00:00,1,29.01662986608232
46,B,2025-03-27 06:00:00,1,40.350362611039586
47,C,2025-03-27 06:00:00,1,23.649838826186908
48,D,2025-03-27 06:00:00,1,17.455809117171448
49,Total,2025-03-27 06:00:00,1,109.45575200121141
