Date,unique_entry_per_day,total_encounters,total_admissions
2018-01-01 00:00:00,67,74,15
2018-01-01 06:00:00,92,98,28
2018-01-01 12:00:00,165,183,53
2018-01-01 18:00:00,131,146,22
2018-01-02 00:00:00,51,54,17
2018-01-02 06:00:00,88,94,29
2018-01-02 12:00:00,145,154,44
2018-01-02 18:00:00,127,134,30
2018-01-03 00:00:00,50,52,11
2018-01-03 06:00:00,87,89,30
2018-01-03 12:00:00,123,139,45
2018-01-03 18:00:00,134,140,38
2018-01-04 00:00:00,38,41,10
2018-01-04 06:00:00,78,88,38
2018-01-04 12:00:00,128,144,47
2018-01-04 18:00:00,124,137,30
2018-01-05 00:00:00,57,60,21
2018-01-05 06:00:00,82,90,24
2018-01-05 12:00:00,114,122,39
2018-01-05 18:00:00,122,136,27
2018-01-06 00:00:00,50,50,12
2018-01-06 06:00:00,91,96,28
2018-01-06 12:00:00,134,142,41
2018-01-06 18:00:00,137,158,29
2018-01-07 00:00:00,34,36,7
2018-01-07 06:00:00,114,121,32
2018-01-07 12:00:00,130,139,27
2018-01-07 18:00:00,148,164,38
2018-01-08 00:00:00,49,52,18
2018-01-08 06:00:00,87,94,29
2018-01-08 12:00:00,139,152,49
2018-01-08 18:00:00,120,129,29
2018-01-09 00:00:00,50,55,14
2018-01-09 06:00:00,85,94,28
2018-01-09 12:00:00,131,138,37
2018-01-09 18:00:00,136,151,31
2018-01-10 00:00:00,58,61,13
2018-01-10 06:00:00,99,105,33
2018-01-10 12:00:00,134,147,44
2018-01-10 18:00:00,104,121,28
2018-01-11 00:00:00,38,38,15
2018-01-11 06:00:00,63,70,20
2018-01-11 12:00:00,116,124,37
2018-01-11 18:00:00,125,130,23
2018-01-12 00:00:00,42,42,10
2018-01-12 06:00:00,84,101,39
2018-01-12 12:00:00,121,131,46
2018-01-12 18:00:00,104,114,22
2018-01-13 00:00:00,52,55,11
2018-01-13 06:00:00,78,85,27
2018-01-13 12:00:00,123,131,28
2018-01-13 18:00:00,123,138,31
2018-01-14 00:00:00,54,54,17
2018-01-14 06:00:00,89,100,24
2018-01-14 12:00:00,119,136,31
2018-01-14 18:00:00,123,140,17
2018-01-15 00:00:00,51,53,14
2018-01-15 06:00:00,69,76,25
2018-01-15 12:00:00,118,126,41
2018-01-15 18:00:00,133,150,35
2018-01-16 00:00:00,44,45,14
2018-01-16 06:00:00,92,95,18
2018-01-16 12:00:00,129,141,49
2018-01-16 18:00:00,107,121,31
2018-01-17 00:00:00,42,47,14
2018-01-17 06:00:00,85,89,28
2018-01-17 12:00:00,124,139,47
2018-01-17 18:00:00,128,140,35
2018-01-18 00:00:00,63,64,13
2018-01-18 06:00:00,100,110,33
2018-01-18 12:00:00,158,173,57
2018-01-18 18:00:00,129,146,32
2018-01-19 00:00:00,58,60,14
2018-01-19 06:00:00,99,108,38
2018-01-19 12:00:00,145,167,48
2018-01-19 18:00:00,139,150,40
2018-01-20 00:00:00,63,70,15
2018-01-20 06:00:00,95,101,19
2018-01-20 12:00:00,165,181,43
2018-01-20 18:00:00,137,148,28
2018-01-21 00:00:00,64,67,10
2018-01-21 06:00:00,106,114,28
2018-01-21 12:00:00,142,148,38
2018-01-21 18:00:00,147,164,28
2018-01-22 00:00:00,52,52,5
2018-01-22 06:00:00,101,107,24
2018-01-22 12:00:00,137,144,44
2018-01-22 18:00:00,143,159,31
2018-01-23 00:00:00,46,48,9
2018-01-23 06:00:00,94,100,31
2018-01-23 12:00:00,126,142,43
2018-01-23 18:00:00,145,162,31
2018-01-24 00:00:00,67,72,16
2018-01-24 06:00:00,93,99,37
2018-01-24 12:00:00,120,131,42
2018-01-24 18:00:00,131,144,28
2018-01-25 00:00:00,40,40,8
2018-01-25 06:00:00,100,110,30
2018-01-25 12:00:00,132,138,34
2018-01-25 18:00:00,103,116,22
2018-01-26 00:00:00,41,44,11
2018-01-26 06:00:00,110,121,31
2018-01-26 12:00:00,145,159,50
2018-01-26 18:00:00,124,137,27
2018-01-27 00:00:00,62,67,14
